Codigo;Nombre;Latitude;Longitude;Superficie (ha);Población;Densidad(hab/ha)
1;Centro;40,4183083;-3,70275;522,82;131928;252,34
2;Arganzuela;40,4002113;-3,6961801;646,22;151965;235,16
3;Retiro;40,4131699;-3,6830699;546,62;118516;216,82
4;Salamanca;40,4297218;-3,67975;539,24;143800;266,67
5;Chamartín;40,462059;-3,6766;917,55;143424;156,31
6;Tetuán;40,4597511;-3,6975;537,47;153789;286,13
7;Chamberí;40,4340401;-3,7037899;467,92;137401;293,64
8;Fuencarral-El Pardo;40,4984016;-3,7314;23783,84;238756;10,04
9;Moncloa-Aravaca;40,4354706;-3,7316999;4653,11;116903;25,12
10;Latina;40,3889694;-3,7456901;2542,72;233808;91,95
11;Carabanchel;40,3909416;-3,7242;1404,83;243998;173,68
12;Usera;40,3886604;-3,70035;777,77;134791;173,3
13;Puente de Vallecas;40,3935394;-3,6619999;1496,86;227595;152,05
14;Moratalaz;40,4074211;-3,6493499;610,32;94197;154,34
15;Ciudad Lineal;40,4450493;-3,65132;1142,57;212529;186,01
16;Hortaleza;40,4744415;-3,6410999;2741,98;180462;65,81
17;Villaverde;40,3499985;-3,7;2018,76;142608;70,64
18;Villa de Vallecas;40,366951;-3,60146;5146,72;104421;19,86
19;Vicálvaro;40,4000015;-3,5999999;3526,67;70051;19,86
20;San Blas-Canillejas;40,4389305;-3,61537;2229,24;154357;69,24
21;Barajas;40,4736595;-3,57777;4192,28;46876;11,18
